市场位置增强排名,股票代码,名称,原行业,中信行业,中信细分行业,原调整分,市场位置增强分,概念数量,高频主题命中数,高频主题命中,概念板块Top,市场位置摘要
56,sh688188,柏楚电子,软件和信息技术服务业,专用机械,工业控制设备,3.8579,3.6694,6,2,人工智能、智能机器,人工智能、工业互联、工业软件、新型工业、智能机器、高端装备,行业位置：专用机械/工业控制设备；相关概念：人工智能、工业互联、工业软件、新型工业、智能机器；风格标签：MSCI成份、QFII新进、QFII重仓、北上重仓；指数归属：上证380、上证治理、中盘成长、中证800；交易属性：专精特新、中证500、中证A500、沪港通SH。
57,sh600601,方正科技,计算机、通信和其他电子设备制造业,元器件,PCB,4.3505,3.6077,8,3,5G概念、CPO概念、东数西算,5G概念、CPO概念、PCB概念、东数西算、云计算、国产软件、智慧城市、网络游戏,行业位置：元器件/PCB；相关概念：5G概念、CPO概念、PCB概念、东数西算、云计算；风格标签：MSCI成份、最近情绪、股东减持、近期强势；指数归属：中证800；交易属性：中证500、沪港通SH、融资融券、转融券。
58,sh688037,芯源微,专用设备制造业,半导体,半导体设备,4.2495,3.5831,4,3,先进封装、存储芯片、芯片,先进封装、华为海思、存储芯片、芯片,行业位置：半导体/半导体设备；相关概念：先进封装、华为海思、存储芯片、芯片；风格标签：历史新高、基金重仓、密集调研、扣非亏损；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：专精特新、中证500、沪港通SH、融资融券。
59,sh688347,华虹公司,计算机、通信和其他电子设备制造业,半导体,半导体制造,3.9808,3.4705,4,4,含H股、存储芯片、消费电子、芯片,含H股、存储芯片、消费电子、芯片,行业位置：半导体/半导体制造；相关概念：含H股、存储芯片、消费电子、芯片；风格标签：MSCI成份、基金重仓、大基金、百元股；指数归属：中证800、国证价值、小盘价值、科创100；交易属性：中证500、沪港通SH、融资融券。
60,sh688728,格科微,计算机、通信和其他电子设备制造业,半导体,集成电路设计,4.0481,3.4675,5,5,AI眼镜、智能穿戴、汽车电子、消费电子、芯片,AI眼镜、智能穿戴、汽车电子、消费电子、芯片,行业位置：半导体/集成电路设计；相关概念：AI眼镜、智能穿戴、汽车电子、消费电子、芯片；风格标签：MSCI中盘、大基金、密集调研、扣非亏损；指数归属：上证380、中证800、半导体50、国证芯片；交易属性：中证500、沪港通SH、融资融券。
61,sz300604,长川科技,专用设备制造业,半导体,半导体设备,4.2357,3.4644,2,2,存储芯片、芯片,存储芯片、芯片,行业位置：半导体/半导体设备；相关概念：存储芯片、芯片；风格标签：MSCI成份、历史新高、基金重仓、大基金；指数归属：中证800、创业300、创业创新、创业板50；交易属性：专精特新、中证500、中证A500、深港通SZ。
62,sh688126,沪硅产业,计算机、通信和其他电子设备制造业,半导体,半导体材料,4.4981,3.4575,2,2,存储芯片、芯片,存储芯片、芯片,行业位置：半导体/半导体材料；相关概念：存储芯片、芯片；风格标签：MSCI中盘、商誉减值、基金重仓、大基金；指数归属：300非周、上证180、上证中盘、中证200；交易属性：中证A500、沪港通SH、融资融券。
63,sh688082,盛美上海,半导体,半导体,半导体设备,4.4554,3.4549,4,4,三代半导、先进封装、存储芯片、芯片,三代半导、先进封装、存储芯片、芯片,行业位置：半导体/半导体设备；相关概念：三代半导、先进封装、存储芯片、芯片；风格标签：百元股、股权激励、股权集中、非周期股；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：沪港通SH、融资融券。
64,sz000837,秦川机床,机械设备,机床制造,机床制造,3.8735,3.3806,11,4,人形机器、国防军工、新能源车、智能机器,一带一路、人形机器、减速器、国防军工、工业大麻、工业母机、新型工业、新能源车,行业位置：机床制造/机床制造；相关概念：一带一路、人形机器、减速器、国防军工、工业大麻；风格标签：化债AMC、整体上市；交易属性：中证1000、国证2000、深港通SZ、融资融券。
65,sh600795,国电电力,电力,火力发电,火力发电,3.5989,3.357,5,1,储能,临界发电、储能、绿色电力、雄安新区、风电,行业位置：火力发电/火力发电；相关概念：临界发电、储能、绿色电力、雄安新区、风电；风格标签：MSCI成份、保险新进、保险重仓、北上重仓；指数归属：300非周、上证180、上证中盘、上证混改；交易属性：中证A500、沪港通SH、融资融券、转融券。
66,sh603688,石英股份,非金属矿物制品业,矿物制品,非金属材料,4.1121,3.3421,4,4,光伏、光通信、存储芯片、芯片,光伏、光通信、存储芯片、芯片,行业位置：矿物制品/非金属材料；相关概念：光伏、光通信、存储芯片、芯片；风格标签：商誉减值、最近多板、最近异动、最近情绪；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：中证500、沪港通SH、融资融券。
67,sh601016,节能风电,电力、热力生产和供应业,新型电力,风力发电,4.1618,3.3395,3,1,储能,储能、绿色电力、风电,行业位置：新型电力/风力发电；相关概念：储能、绿色电力、风电；风格标签：专项贷款、户数增加、昨日涨停、昨日首板；指数归属：上证380、中证800、中证央企、内地绿电；交易属性：中证500、含可转债、沪港通SH、融资融券。
68,sh688702,盛科通信,软件和信息技术服务业,半导体,集成电路设计,3.6168,3.3192,4,3,5G概念、数据中心、芯片,5G概念、信息安全、数据中心、芯片,行业位置：半导体/集成电路设计；相关概念：5G概念、信息安全、数据中心、芯片；风格标签：券商金股、基金重仓、大基金、大盘股；指数归属：上证380、中证800、中证央企、半导体50；交易属性：中证500、沪港通SH、融资融券。
69,sh688017,绿的谐波,通用设备制造业,机械基件,机器人,3.905,3.2739,5,2,人形机器、智能机器,人形机器、减速器、外骨骼、新型工业、智能机器,行业位置：机械基件/机器人；相关概念：人形机器、减速器、外骨骼、新型工业、智能机器；风格标签：历史新高、基金重仓、百元股、近期强势；指数归属：上证380、中证800、新硬件、科创100；交易属性：专精特新、中证500、中证A500、沪港通SH。
70,sz000582,北部湾港,水上运输业,港口,港口,3.2735,3.2689,10,3,DeepSeek、人工智能、智能机器,DeepSeek、一带一路、乡村振兴、人工智能、冷链物流、区块链、天然气、星闪概念,行业位置：港口/港口；相关概念：DeepSeek、一带一路、乡村振兴、人工智能、冷链物流；风格标签：专项贷款、最近情绪、近期新高；指数归属：中证800、国证价值、国证服务、小盘价值；交易属性：中证500、深港通SZ、深证成指、融资融券。
71,sh688172,燕东微,计算机、通信和其他电子设备制造业,半导体,功率半导体,4.0398,3.1846,4,4,MCU芯片、三代半导、东数西算、芯片,MCU芯片、三代半导、东数西算、芯片,行业位置：半导体/功率半导体；相关概念：MCU芯片、三代半导、东数西算、芯片；风格标签：大基金、连续亏损、非周期股；指数归属：上证380、中证800、半导体50、科创100；交易属性：中证500、沪港通SH、融资融券。
72,sh688281,华秦科技,其他制造业,航空,航空装备,4.1519,2.8559,3,1,国防军工,国防军工、新材料、碳纤维,行业位置：航空/航空装备；相关概念：国防军工、新材料、碳纤维；风格标签：股权激励；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：中证500、沪港通SH、融资融券。
73,sh688301,奕瑞科技,专用设备制造业,医疗保健,医疗设备,4.0832,2.8249,1,1,芯片,芯片,行业位置：医疗保健/医疗设备；相关概念：芯片；风格标签：回购计划、拟减持、百元股、近已解禁；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：专精特新、中证500、含可转债、沪港通SH。
74,sh600707,彩虹股份,计算机、通信和其他电子设备制造业,元器件,面板,3.958,2.8103,3,1,OLED概念,OLED概念、折叠屏、新材料,行业位置：元器件/面板；相关概念：OLED概念、折叠屏、新材料；风格标签：扣非亏损、昨日涨停、最近多板、最近情绪；指数归属：中证800；交易属性：中证500、沪港通SH、融资融券、转融券。
75,sz300718,长盛轴承,通用设备制造业,机械基件,机械基础件,3.1847,2.7206,7,2,人形机器、智能机器,人形机器、智能机器、核电核能、热管理、特斯拉、绿色电力、风电,行业位置：机械基件/机械基础件；相关概念：人形机器、智能机器、核电核能、热管理、特斯拉；风格标签：新进成份；指数归属：中证800、创业300、创业板指；交易属性：专精特新、中证500、深港通SZ、深证成指。
76,sz300142,沃森生物,医药制造业,生物制药,疫苗,2.9538,2.6625,3,0,,创新药、合成生物、生物疫苗,行业位置：生物制药/疫苗；相关概念：创新药、合成生物、生物疫苗；风格标签：定增预案、社保重仓、股权分散、近期新高；指数归属：中证800、创业300、创业板指、创业蓝筹；交易属性：中证500、中证A500、深港通SZ、深证成指。
77,sz000060,中金岭南,有色金属冶炼和压延加工业,铅锌,铅锌,3.1254,2.6231,5,1,DeepSeek,DeepSeek、稀缺资源、钴金属、镍金属、黄金概念,行业位置：铅锌/铅锌；相关概念：DeepSeek、稀缺资源、钴金属、镍金属、黄金概念；风格标签：参股金融、周期股；指数归属：中证800、国证价值、小盘价值、投资时钟；交易属性：中证500、深港通SZ、深证成指、融资融券。
78,sh601882,海天精工,机械设备,机床制造,机床制造,3.8904,2.2923,3,0,,工业母机、新型工业、高端装备,行业位置：机床制造/机床制造；相关概念：工业母机、新型工业、高端装备；指数归属：上证380；交易属性：中证1000、国证2000、沪港通SH、融资融券。
79,sh603392,万泰生物,医药制造业,生物制药,疫苗,2.378,2.2868,4,1,DeepSeek,DeepSeek、创新药、幽门菌、生物疫苗,行业位置：生物制药/疫苗；相关概念：DeepSeek、创新药、幽门菌、生物疫苗；风格标签：MSCI成份、连续亏损、非周期股；指数归属：300非周、上证180、上证中盘、中证200；交易属性：中证A500、沪港通SH、融资融券。
80,sz002939,长城证券,资本市场服务,证券,证券,2.9658,2.1679,0,0,,,行业位置：证券/证券；风格标签：MSCI成份、拟减持；指数归属：中创100、中小100、中小300、中盘价值；交易属性：中证500、深港通SZ、深证成指、融资融券。
