股票代码,行业名称,细分行业名称,概念板块,风格板块,指数板块,特殊板块,板块总数,市场位置摘要
sz300448,软件服务,行业应用软件,AI智能体、AI眼镜、ETC概念、人工智能、创投概念、区块链、华为海思、华为鸿蒙、国产软件、多模态AI、大数据、安防服务、数据要素、智慧城市、智能交通、智能医疗、机器视觉、物联网、百度概念、芯片、车联网、边缘计算、食品安全,微利股、连续亏损,创业小盘,中证2000、国证2000,28,行业位置：软件服务/行业应用软件；相关概念：AI智能体、AI眼镜、ETC概念、人工智能、创投概念；风格标签：微利股、连续亏损；指数归属：创业小盘；交易属性：中证2000、国证2000。
sz300513,软件服务,行业应用软件,5G概念、AI智能体、东数西算、乡村振兴、储能、充电桩、国产软件、大数据、工业互联、数字孪生、数据要素、智慧政务、智能家居、智能电网、物联网、碳中和、算力租赁、职业教育、芯片、虚拟现实、虚拟电厂,亏损股、低安全分、商誉减值、微盘股、股权分散、连续亏损,,中证2000,28,行业位置：软件服务/行业应用软件；相关概念：5G概念、AI智能体、东数西算、乡村振兴、储能；风格标签：亏损股、低安全分、商誉减值、微盘股；交易属性：中证2000。
sz300607,专用机械,机器人,一带一路、人工智能、人形机器、低空经济、口罩防护、工业互联、工业母机、新型工业、新能源车、无人机、智能机器、智谱AI、机器视觉、物联网、锂电池、阿里概念、飞行汽车、高端装备,商誉减值、密集调研、拟减持,创业200、创业300、新硬件,中证1000、国证2000、深港通SZ、融资融券,28,行业位置：专用机械/机器人；相关概念：一带一路、人工智能、人形机器、低空经济、口罩防护；风格标签：商誉减值、密集调研、拟减持；指数归属：创业200、创业300、新硬件；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz300679,元器件,消费电子组件,5G概念、PCB概念、人形机器、小米概念、折叠屏、新型烟草、新能源车、无人机、无人驾驶、消费电子、物联网、英伟达,养老金、回购计划、基金减仓、融资增加,中证800、创业300、创业创新、创业板指、创质量、国证成长、小盘成长、深证创新,中证500、深港通SZ、深证成指、融资融券,28,行业位置：元器件/消费电子组件；相关概念：5G概念、PCB概念、人形机器、小米概念、折叠屏；风格标签：养老金、回购计划、基金减仓、融资增加；指数归属：中证800、创业300、创业创新、创业板指；交易属性：中证500、深港通SZ、深证成指、融资融券。
sz300687,软件服务,其他云服务,AIGC概念、AI智能体、C2M概念、ChatGPT、DeepSeek、PCB概念、云计算、人工智能、创投概念、华为鸿蒙、国产软件、多模态AI、大数据、工业互联、工业软件、新型工业、智能医疗、智能机器、粤港澳、财税数字、边缘计算,近期强势,创业200、创业300,中证1000、国证2000、深港通SZ、融资融券,28,行业位置：软件服务/其他云服务；相关概念：AIGC概念、AI智能体、C2M概念、ChatGPT、DeepSeek；风格标签：近期强势；指数归属：创业200、创业300；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz300688,文教休闲,教育培训,AIGC概念、AI智能体、ChatGPT、DeepSeek、Web3概念、东数西算、人工智能、元宇宙、创投概念、区块链、商业航天、抖音概念、数据要素、智慧政务、智谱AI、知识产权、算力租赁、职业教育、财税数字、远程办公、阿里概念,低安全分、连续亏损、重组预案,创业小盘,中证2000、国证2000、深港通SZ,28,行业位置：文教休闲/教育培训；相关概念：AIGC概念、AI智能体、ChatGPT、DeepSeek、Web3概念；风格标签：低安全分、连续亏损、重组预案；指数归属：创业小盘；交易属性：中证2000、国证2000、深港通SZ。
sz301018,专用机械,制冷空调设备,5G概念、DeepSeek、储能、可控核变、抖音概念、数据中心、新能源车、核电核能、液冷服务、热泵概念、百度概念、碳中和、腾讯概念、节能环保、锂电池、阿里概念、风电、高压快充,历史新高、发可转债、户数减少、百元股、近期新高,创业300,中证1000、国证2000、深港通SZ、融资融券,28,行业位置：专用机械/制冷空调设备；相关概念：5G概念、DeepSeek、储能、可控核变、抖音概念；风格标签：历史新高、发可转债、户数减少、百元股；指数归属：创业300；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz301041,元器件,PCB,5G概念、6G概念、PCB概念、中俄贸易、信创、光通信、创投概念、商业航天、国防军工、数据中心、新型工业、无人机、智能机器、毫米雷达、汽车电子、特高压、百度概念、职业教育、腾讯概念、虚拟电厂,微小盘股、昨日振荡、昨日较强、昨高换手、近期新高,,专精特新、中证2000、融资融券,28,行业位置：元器件/PCB；相关概念：5G概念、6G概念、PCB概念、中俄贸易、信创；风格标签：微小盘股、昨日振荡、昨日较强、昨高换手；交易属性：专精特新、中证2000、融资融券。
sz301128,专用机械,其他专用设备,CPO概念、PCB概念、人工智能、人形机器、光刻机、华为汽车、华为海思、国防军工、折叠屏、数据中心、新型工业、新能源车、无人机、无人驾驶、智能机器、消费电子、液冷服务、粤港澳、芯片、苹果概念、虚拟现实、高端装备,百元股、高市净率,,中证2000、国证2000、深港通SZ、融资融券,28,行业位置：专用机械/其他专用设备；相关概念：CPO概念、PCB概念、人工智能、人形机器、光刻机；风格标签：百元股、高市净率；交易属性：中证2000、国证2000、深港通SZ、融资融券。
sz301179,软件服务,电网自动化,5G概念、BIPV概念、DeepSeek、人工智能、低空经济、信息安全、储能、充电桩、国产软件、多模态AI、数字孪生、数据中心、新型工业、无人机、智能机器、智能电网、物联网、特高压、算力租赁、绿色电力、虚拟电厂、风电,,创业小盘,专精特新、中证2000、国证2000、深港通SZ、融资融券,28,行业位置：软件服务/电网自动化；相关概念：5G概念、BIPV概念、DeepSeek、人工智能、低空经济；指数归属：创业小盘；交易属性：专精特新、中证2000、国证2000、深港通SZ。
sz301196,专用机械,其他专用设备,PEEK材料、一体压铸、储能、光通信、养老概念、婴童概念、宠物经济、新型烟草、新能源车、智能机器、海峡西岸、消费电子、特斯拉,历史新高、承诺不减、昨日上榜、昨日较强、最近情绪、百元股、近期强势、近期新高、送转潜力,创业小盘,专精特新、中证2000、国证2000、深港通SZ、融资融券,28,行业位置：专用机械/其他专用设备；相关概念：PEEK材料、一体压铸、储能、光通信、养老概念；风格标签：历史新高、承诺不减、昨日上榜、昨日较强；指数归属：创业小盘；交易属性：专精特新、中证2000、国证2000、深港通SZ。
sz301213,软件服务,军工电子,Web3概念、三代半导、东数西算、人工智能、低空经济、信创、军工信息、区块链、卫星导航、商业航天、国防军工、数字孪生、无人机、智能机器、机器视觉、物联网、电子身份、虚拟现实、边缘计算、高端装备,定增预案、户数增加、私募重仓、股权转让、重组预案,,专精特新、中证2000、融资融券,28,行业位置：软件服务/军工电子；相关概念：Web3概念、三代半导、东数西算、人工智能、低空经济；风格标签：定增预案、户数增加、私募重仓、股权转让；交易属性：专精特新、中证2000、融资融券。
sz301218,软件服务,行业应用软件,DeepSeek、一带一路、人工智能、人形机器、低空经济、信息安全、卫星导航、国产软件、安防服务、数据中心、数据要素、无人机、智慧城市、智慧政务、智能交通、智能医疗、智能机器、智能电网、机器视觉、水利建设、物联网、阿里概念,定增预案、微小盘股、控制变更、连续亏损,,专精特新、融资融券,28,行业位置：软件服务/行业应用软件；相关概念：DeepSeek、一带一路、人工智能、人形机器、低空经济；风格标签：定增预案、微小盘股、控制变更、连续亏损；交易属性：专精特新、融资融券。
sz301312,专用机械,其他自动化设备,AI手机PC、AI眼镜、CPO概念、MicroLED、MiniLED、元宇宙、华为海思、数据中心、新型工业、新型烟草、智能机器、机器视觉、汽车电子、消费电子、混合现实、粤港澳、芯片、苹果概念、虚拟现实、高端装备,基金增仓、百元股、融资增加,,专精特新、中证2000、国证2000、深港通SZ、融资融券,28,行业位置：专用机械/其他自动化设备；相关概念：AI手机PC、AI眼镜、CPO概念、MicroLED、MiniLED；风格标签：基金增仓、百元股、融资增加；交易属性：专精特新、中证2000、国证2000、深港通SZ。
sz301313,文教休闲,其他专业服务,AIGC概念、AI医疗、ChatGPT、IP经济、人工智能、低空经济、元宇宙、军工信息、地下管网、数字孪生、数据中心、数据要素、旅游概念、智慧城市、智慧政务、智能机器、智谱AI、水利建设、物联网、百度概念、虚拟现实、车联网,微小盘股、拟减持、近期新高、连续亏损,,中证2000、融资融券,28,行业位置：文教休闲/其他专业服务；相关概念：AIGC概念、AI医疗、ChatGPT、IP经济、人工智能；风格标签：微小盘股、拟减持、近期新高、连续亏损；交易属性：中证2000、融资融券。
sz301338,专用机械,其他专用设备,CPO概念、MiniLED、PCB概念、三代半导、先进封装、国防军工、小米概念、工业互联、工业母机、新型工业、机器视觉、汽车芯片、消费电子、玻璃基板、芯片、锂电池、高端装备,养老金、基金增仓、密集调研、拟减持、百元股、社保新进、绩优股,,专精特新、中证2000、深港通SZ、融资融券,28,行业位置：专用机械/其他专用设备；相关概念：CPO概念、MiniLED、PCB概念、三代半导、先进封装；风格标签：养老金、基金增仓、密集调研、拟减持；交易属性：专精特新、中证2000、深港通SZ、融资融券。
sz301611,半导体,半导体材料,OLED概念、三代半导、光刻机、存储芯片、燃料电池、芯片、锂电池,两年新股、基金减仓、户数增加、新进成份、百元股、高市净率,中证800、创业300、创业板指、半导体50、国证成长、小盘成长、新兴成指、深次新股、科技100,专精特新、中证500、含可转债、深港通SZ、深证成指、融资融券,28,行业位置：半导体/半导体材料；相关概念：OLED概念、三代半导、光刻机、存储芯片、燃料电池；风格标签：两年新股、基金减仓、户数增加、新进成份；指数归属：中证800、创业300、创业板指、半导体50；交易属性：专精特新、中证500、含可转债、深港通SZ。
bj920092,软件服务,行业应用软件,AIGC概念、DeepSeek、东数西算、互联金融、人工智能、信创、信息安全、数字孪生、数据要素、新型工业、无人机、无人驾驶、智慧城市、智慧政务、智能交通、智能机器、机器视觉、物联网、碳中和、算力租赁、财税数字、车联网、边缘计算,股权激励、连续亏损,,专精特新、融资融券,27,行业位置：软件服务/行业应用软件；相关概念：AIGC概念、DeepSeek、东数西算、互联金融、人工智能；风格标签：股权激励、连续亏损；交易属性：专精特新、融资融券。
sh600000,银行,股份制银行,跨境支付,MSCI成份、低市净率、低市盈率、保险重仓、北上重仓、周期股、大盘股、破净资产、近期新低、高股息股,300ESG、300周期、MSCIA50、上证180、上证中盘、中华A80、中证800、分析师指、国证红利、沪深300、长三角,中证A500、沪港通SH、融资融券、转融券、金融类企业,27,行业位置：银行/股份制银行；相关概念：跨境支付；风格标签：MSCI成份、低市净率、低市盈率、保险重仓；指数归属：300ESG、300周期、MSCIA50、上证180；交易属性：中证A500、沪港通SH、融资融券、转融券。
sh600008,水务,水务,DeepSeek、PPP概念、乡村振兴、人工智能、医废处理、地下管网、垃圾分类、新型城镇、智慧城市、智能机器、汽车拆解、节能环保、雄安新区,低市盈率、券商重仓、行业龙头、高应收款,上证380、中证800、国证价值、国证服务、小盘价值,中证500、中证A500、沪港通SH、融资融券、转融券,27,行业位置：水务/水务；相关概念：DeepSeek、PPP概念、乡村振兴、人工智能、医废处理；风格标签：低市盈率、券商重仓、行业龙头、高应收款；指数归属：上证380、中证800、国证价值、国证服务；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh600015,银行,股份制银行,跨境支付,MSCI成份、中小银行、低市净率、低市盈率、保险重仓、北上重仓、周期股、大盘股、破净资产、高股息股,300周期、上证180、上证中盘、上证红利、中证800、中证红利、国证价值、国证红利、大盘价值、沪深300、环渤海、红利低波,沪港通SH、融资融券、转融券、金融类企业,27,行业位置：银行/股份制银行；相关概念：跨境支付；风格标签：MSCI成份、中小银行、低市净率、低市盈率；指数归属：300周期、上证180、上证中盘、上证红利；交易属性：沪港通SH、融资融券、转融券、金融类企业。
sh600153,仓储物流,供应链服务,DeepSeek、一带一路、光伏、小米汽车、新型城镇、新能源车、海峡西岸、物业管理、白酒概念,低市净率、养老金、周期股、破净资产、社保重仓、高应收款、高股息股,上证380、上证红利、中盘价值、中证800、中证红利、国证价值,中证500、中证A500、沪港通SH、融资融券、转融券,27,行业位置：仓储物流/供应链服务；相关概念：DeepSeek、一带一路、光伏、小米汽车、新型城镇；风格标签：低市净率、养老金、周期股、破净资产；指数归属：上证380、上证红利、中盘价值、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh600171,半导体,集成电路设计,CPO概念、EDA概念、MCU芯片、三代半导、低空经济、充电桩、存储芯片、无线耳机、智能家居、智能电网、汽车电子、汽车芯片、物联网、芯片、锂电池,,上证380、上证治理、上证混改、中证800、中证央企、国证成长、小盘成长、新硬件,中证500、沪港通SH、融资融券、转融券,27,行业位置：半导体/集成电路设计；相关概念：CPO概念、EDA概念、MCU芯片、三代半导、低空经济；指数归属：上证380、上证治理、上证混改、中证800；交易属性：中证500、沪港通SH、融资融券、转融券。
sh600177,服饰,非运动服装,互联金融、养老概念、婴童概念、工业大麻、新零售,低市净率、券商重仓、参股金融、破净资产、私募新进、股东减持、行业龙头、证金汇金、高分红股、高股息股,上证380、上证红利、中盘价值、中证800、中证回购、中证红利、国证价值,中证500、中证A500、沪港通SH、融资融券、转融券,27,行业位置：服饰/非运动服装；相关概念：互联金融、养老概念、婴童概念、工业大麻、新零售；风格标签：低市净率、券商重仓、参股金融、破净资产；指数归属：上证380、上证红利、中盘价值、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh600362,铜,铜,一带一路、含H股、锂电池、黄金概念,MSCI成份、北上重仓、周期股、大盘股、整体上市、证金汇金、陆股通重、高应收款,300ESG、300周期、上证180、上证中盘、中盘价值、中证200、中证800、国证价值、投资时钟、沪深300、资源优势,中证A500、沪港通SH、融资融券、转融券,27,行业位置：铜/铜；相关概念：一带一路、含H股、锂电池、黄金概念；风格标签：MSCI成份、北上重仓、周期股、大盘股；指数归属：300ESG、300周期、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券、转融券。
sh600556,互联网,互联网广告,AIGC概念、AI智能体、AI营销、IP经济、NFT概念、Web3概念、人工智能、元宇宙、区块链、多模态AI、大数据、小红书、抖音概念、数据要素、知识产权、网红经济、职业教育、腾讯概念、阿里概念,微利股、高市盈率,上证580、在线消费,中证1000、国证2000、沪港通SH、融资融券,27,行业位置：互联网/互联网广告；相关概念：AIGC概念、AI智能体、AI营销、IP经济、NFT概念；风格标签：微利股、高市盈率；指数归属：上证580、在线消费；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600600,啤酒,啤酒,含H股、新零售,MSCI成份、QFII新进、QFII重仓、保险重仓、参股金融、绩优股、证金汇金、非周期股、高分红股,300非周、上证180、上证中盘、上证治理、中盘价值、中证200、中证800、国企改革、国证价值、央视50、投资时钟、沪深300、消费100,沪港通SH、融资融券、转融券,27,行业位置：啤酒/啤酒；相关概念：含H股、新零售；风格标签：MSCI成份、QFII新进、QFII重仓、保险重仓；指数归属：300非周、上证180、上证中盘、上证治理；交易属性：沪港通SH、融资融券、转融券。
sh600729,百货,多业态零售,IP经济、互联金融、人工智能、养老概念、小米汽车、新零售、智能机器、黄金概念,专项贷款、低市盈率、参股新股、整体上市、股权转让、自由现金、证金汇金、近期新低、高股息股,上证380、上证治理、上证混改、中证红利、国信价值,中证1000、国证2000、沪港通SH、融资融券、转融券,27,行业位置：百货/多业态零售；相关概念：IP经济、互联金融、人工智能、养老概念、小米汽车；风格标签：专项贷款、低市盈率、参股新股、整体上市；指数归属：上证380、上证治理、上证混改、中证红利；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600831,影视音像,广播电视,5G概念、DeepSeek、PPP概念、乡村振兴、云计算、互联金融、人工智能、国产软件、国资云、大数据、数据中心、数据确权、智慧城市、智慧政务、智能家居、百度概念、知识产权、短剧游戏、腾讯概念、超清视频,亏损股、低安全分、微盘股、摘帽、连续亏损、高负债率,,转融券,27,行业位置：影视音像/广播电视；相关概念：5G概念、DeepSeek、PPP概念、乡村振兴、云计算；风格标签：亏损股、低安全分、微盘股、摘帽；交易属性：转融券。
sh600879,航空,航天装备,低空经济、军工信息、军民融合、卫星导航、商业航天、国防军工、无人机、物联网、特高压、芯片、量子科技、高端装备,MSCI中盘、基金重仓、微利股、整体上市、行业龙头、非周期股、高应收款,上证380、中证800、中证央企,中证500、中证A500、沪港通SH、融资融券、转融券,27,行业位置：航空/航天装备；相关概念：低空经济、军工信息、军民融合、卫星导航、商业航天；风格标签：MSCI中盘、基金重仓、微利股、整体上市；指数归属：上证380、中证800、中证央企；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh600973,电气设备,线缆部件及其他,低空经济、充电桩、光伏、可控核变、商业航天、国防军工、大飞机、新能源车、无人机、智能电网、核电核能、物联网、特斯拉、绿色电力、超导概念、铜缆连接、飞行汽车、高端装备、高铁,低安全分、连续亏损,上证580、中证央企,中证2000、国证2000、沪港通SH、融资融券,27,行业位置：电气设备/线缆部件及其他；相关概念：低空经济、充电桩、光伏、可控核变、商业航天；风格标签：低安全分、连续亏损；指数归属：上证580、中证央企；交易属性：中证2000、国证2000、沪港通SH、融资融券。
sh600989,化工原料,煤化工,DeepSeek、POE胶膜、口罩防护、氢能源、碳中和、通达信88,MSCI成份、北上重仓、基金重仓、大盘股、社保重仓、行业龙头、非周期股,300ESG、300非周、上证180、上证中盘、中证100、中证200、中证800、中证A100、国信价值、民企100、沪深300,中证A500、沪港通SH、融资融券,27,行业位置：化工原料/煤化工；相关概念：DeepSeek、POE胶膜、口罩防护、氢能源、碳中和；风格标签：MSCI成份、北上重仓、基金重仓、大盘股；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券。
sh601058,汽车配件,轮胎轮毂,DeepSeek、小米汽车,MSCI成份、QFII新进、QFII重仓、专项贷款、低市盈率、基金减仓、海外业务、社保重仓、被举牌、非周期股,300ESG、300非周、上证380、中盘价值、中盘成长、中证200、中证800、国证价值、国证成长、民企100、沪深300、腾讯济安,中证A500、沪港通SH、融资融券,27,行业位置：汽车配件/轮胎轮毂；相关概念：DeepSeek、小米汽车；风格标签：MSCI成份、QFII新进、QFII重仓、专项贷款；指数归属：300ESG、300非周、上证380、中盘价值；交易属性：中证A500、沪港通SH、融资融券。
sh601229,银行,城商行,,MSCI成份、QFII重仓、中小银行、低市净率、低市盈率、北上重仓、周期股、大盘股、破净资产、高股息股,300ESG、300周期、上证180、上证中盘、上证红利、中证800、中证红利、国证价值、大盘价值、沪深300、红利低波、银河99、长三角,含可转债、沪港通SH、融资融券、金融类企业,27,行业位置：银行/城商行；风格标签：MSCI成份、QFII重仓、中小银行、低市净率；指数归属：300ESG、300周期、上证180、上证中盘；交易属性：含可转债、沪港通SH、融资融券、金融类企业。
sh601818,银行,股份制银行,含H股,MSCI成份、低市净率、低市盈率、北上重仓、周期股、大盘股、破净资产、高股息股,300ESG、300周期、上证180、上证中盘、上证红利、中华A80、中证800、中证央企、中证红利、分析师指、国证红利、央企100、沪深300、环渤海,沪港通SH、融资融券、转融券、金融类企业,27,行业位置：银行/股份制银行；相关概念：含H股；风格标签：MSCI成份、低市净率、低市盈率、北上重仓；指数归属：300ESG、300周期、上证180、上证中盘；交易属性：沪港通SH、融资融券、转融券、金融类企业。
sh603031,电气设备,其他电池,CPO概念、储能、商业航天、固态电池、新零售、芯片、跨境电商、锂电池,专项贷款、保险新进、历史新高、昨日振荡、昨日较强、昨曾涨停、最近异动、私募重仓、绩优股、股东减持、自由现金、近期强势、近期新高、重组股、高商誉,上证580,中证2000、国证2000、沪港通SH,27,行业位置：电气设备/其他电池；相关概念：CPO概念、储能、商业航天、固态电池、新零售；风格标签：专项贷款、保险新进、历史新高、昨日振荡；指数归属：上证580；交易属性：中证2000、国证2000、沪港通SH。
sh603083,通信设备,通信终端及配件,5G概念、CPO概念、一带一路、光通信、含H股、工业互联、智能家居、液冷服务、物联网、边缘计算,保险新进、拟减持、最近异动、海外业务、百元股、社保新进、股权激励、近期强势、近期新高、非周期股、高贝塔值,上证380、新硬件,中证1000、国证2000、沪港通SH、融资融券,27,行业位置：通信设备/通信终端及配件；相关概念：5G概念、CPO概念、一带一路、光通信、含H股；风格标签：保险新进、拟减持、最近异动、海外业务；指数归属：上证380、新硬件；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh603189,软件服务,行业应用软件,5G概念、AIGC概念、AI智能体、ST板块、乡村振兴、人工智能、低空经济、信创、元宇宙、创投概念、华为鸿蒙、国产软件、多模态AI、操作系统、数字孪生、无人机、智慧城市、智慧政务、混合现实、物联网、百度概念、腾讯概念、虚拟现实、超清视频、边缘计算、阿里概念,昨日振荡,,,27,行业位置：软件服务/行业应用软件；相关概念：5G概念、AIGC概念、AI智能体、ST板块、乡村振兴；风格标签：昨日振荡。
sh603212,塑料,光伏辅材,BC电池、HJT电池、MicroLED、MiniLED、OLED概念、POE胶膜、TOPCon、人工智能、储能、先进封装、光伏、商业航天、固态电池、新材料、新能源车、无线耳机、消费电子、特斯拉、芯片、钙钛矿、锂电池、风电、高压快充,连续亏损,,专精特新、沪港通SH、融资融券,27,行业位置：塑料/光伏辅材；相关概念：BC电池、HJT电池、MicroLED、MiniLED、OLED概念；风格标签：连续亏损；交易属性：专精特新、沪港通SH、融资融券。
sh603459,元器件,PCB,CPO概念、MiniLED、PCB概念、一带一路、东数西算、卫星导航、商业航天、存储芯片、小米概念、无人驾驶、智能机器、智能穿戴、次新股、汽车电子、消费电子、芯片、虚拟现实、锂电池,昨日上榜、昨日振荡、昨高换手、最近多板、最近情绪、股权集中、融资增加、近端次新,,融资融券,27,行业位置：元器件/PCB；相关概念：CPO概念、MiniLED、PCB概念、一带一路、东数西算；风格标签：昨日上榜、昨日振荡、昨高换手、最近多板；交易属性：融资融券。
sh603629,元器件,消费电子组件,OLED概念、东数西算、国防军工、小米概念、消费电子、液冷服务、算力租赁、腾讯概念、芯片、英伟达,户数增加、承诺不减、拟减持、昨日涨停、昨日首板、昨高换手、最近异动、最近情绪、百元股、绩优股、近期强势、非周期股、高市净率,上证580,中证2000、国证2000、沪港通SH,27,行业位置：元器件/消费电子组件；相关概念：OLED概念、东数西算、国防军工、小米概念、消费电子；风格标签：户数增加、承诺不减、拟减持、昨日涨停；指数归属：上证580；交易属性：中证2000、国证2000、沪港通SH。
sh605090,供气供热,燃气,DeepSeek、低空经济、创投概念、商业航天、天然气、工业气体、氢能源、生物质能、粤港澳、绿色电力、航运概念、节能环保、芯片,专项贷款、保险新进、保险重仓、密集调研、最近情绪、社保重仓,上证380、国证价值、国证成长、小盘价值、小盘成长,中证1000、沪港通SH、融资融券,27,行业位置：供气供热/燃气；相关概念：DeepSeek、低空经济、创投概念、商业航天、天然气；风格标签：专项贷款、保险新进、保险重仓、密集调研；指数归属：上证380、国证价值、国证成长、小盘价值；交易属性：中证1000、沪港通SH、融资融券。
sh688052,半导体,集成电路设计,MCU芯片、人形机器、先进封装、含H股、新能源车、智能机器、汽车电子、汽车芯片、消费电子、物联网、芯片,养老金、回购计划、密集调研、百元股、社保新进、近期强势、近期新高、连续亏损、非周期股,中证800、半导体50、科创100、科创芯片,中证500、沪港通SH、融资融券,27,行业位置：半导体/集成电路设计；相关概念：MCU芯片、人形机器、先进封装、含H股、新能源车；风格标签：养老金、回购计划、密集调研、百元股；指数归属：中证800、半导体50、科创100、科创芯片；交易属性：中证500、沪港通SH、融资融券。
sh688107,半导体,集成电路设计,5G概念、EDA概念、人形机器、商业航天、国产软件、无人机、无人驾驶、智能机器、汽车电子、汽车芯片、芯片、量子科技,大基金、定增预案、股东减持、近期强势、近期新高、连续亏损,上证580、中证央企、科创200、科创国企,专精特新、中证1000、国证2000、沪港通SH、融资融券,27,行业位置：半导体/集成电路设计；相关概念：5G概念、EDA概念、人形机器、商业航天、国产软件；风格标签：大基金、定增预案、股东减持、近期强势；指数归属：上证580、中证央企、科创200、科创国企；交易属性：专精特新、中证1000、国证2000、沪港通SH。
sh688157,染料涂料,涂料油墨,AI手机PC、AI眼镜、PCB概念、低空经济、储能、光刻机、华为汽车、固态电池、小米概念、小米汽车、折叠屏、新能源车、无人驾驶、智能机器、智能穿戴、消费电子、混合现实、特斯拉、苹果概念、飞行汽车,员工持股、高市盈率,科创200、科创材料,专精特新、沪港通SH、融资融券,27,行业位置：染料涂料/涂料油墨；相关概念：AI手机PC、AI眼镜、PCB概念、低空经济、储能；风格标签：员工持股、高市盈率；指数归属：科创200、科创材料；交易属性：专精特新、沪港通SH、融资融券。
sh688173,半导体,集成电路设计,AI手机PC、AI眼镜、小米概念、智能家居、智能机器、智能穿戴、汽车电子、汽车芯片、消费电子、粤港澳、芯片、锂电池,密集调研、拟减持、控制变更、海外业务、破发行价、股东减持、近期新高、连续亏损,上证创新、科创200,专精特新、中证2000、国证2000、沪港通SH、融资融券,27,行业位置：半导体/集成电路设计；相关概念：AI手机PC、AI眼镜、小米概念、智能家居、智能机器；风格标签：密集调研、拟减持、控制变更、海外业务；指数归属：上证创新、科创200；交易属性：专精特新、中证2000、国证2000、沪港通SH。
sh688234,半导体,半导体材料,AI眼镜、三代半导、含H股、新能源车、智能电网、芯片,历史新高、拟减持、昨日较强、百元股、近期强势、近期新高、连续亏损、非周期股,上证380、中盘成长、中证800、半导体50、国证成长、科创50、科创信息、科创材料、科创芯片,专精特新、中证500、沪港通SH、融资融券,27,行业位置：半导体/半导体材料；相关概念：AI眼镜、三代半导、含H股、新能源车、智能电网；风格标签：历史新高、拟减持、昨日较强、百元股；指数归属：上证380、中盘成长、中证800、半导体50；交易属性：专精特新、中证500、沪港通SH、融资融券。
sh688249,半导体,半导体制造,MCU芯片、MicroLED、MiniLED、OLED概念、汽车芯片、消费电子、芯片、量子科技,MSCI中盘、基金减仓、微利股、股权转让、近已解禁、非周期股,上证180、上证中盘、中盘成长、半导体50、双创50、国证成长、国证芯片、科创50、科创信息、科创国企、科创芯片,沪港通SH、融资融券,27,行业位置：半导体/半导体制造；相关概念：MCU芯片、MicroLED、MiniLED、OLED概念、汽车芯片；风格标签：MSCI中盘、基金减仓、微利股、股权转让；指数归属：上证180、上证中盘、中盘成长、半导体50；交易属性：沪港通SH、融资融券。
sh688323,塑料,塑料薄膜,PCB概念、储能、先进封装、光伏、卫星导航、商业航天、固态电池、国防军工、折叠屏、新材料、消费电子、芯片、钙钛矿、风电,昨日上榜、昨日涨停、昨日首板、最近情绪、股东减持、近期强势、连续亏损、高贝塔值,中证央企、科创国企,专精特新、含可转债、融资融券,27,行业位置：塑料/塑料薄膜；相关概念：PCB概念、储能、先进封装、光伏、卫星导航；风格标签：昨日上榜、昨日涨停、昨日首板、最近情绪；指数归属：中证央企、科创国企；交易属性：专精特新、含可转债、融资融券。
sh688328,专用机械,其他专用设备,AI眼镜、CPO概念、MiniLED、OLED概念、三代半导、先进封装、存储芯片、小米概念、折叠屏、新型工业、新能源车、智能机器、智能穿戴、机器视觉、消费电子、混合现实、电子纸、芯片、虚拟现实、锂电池,最近情绪、融资增加、近期强势、近期新高、高贝塔值,,专精特新、融资融券,27,行业位置：专用机械/其他专用设备；相关概念：AI眼镜、CPO概念、MiniLED、OLED概念、三代半导；风格标签：最近情绪、融资增加、近期强势、近期新高；交易属性：专精特新、融资融券。
sh688385,半导体,集成电路设计,MCU芯片、东数西算、人工智能、含H股、存储芯片、汽车芯片、算力租赁、芯片、英伟达,基金重仓、股权转让、非周期股、高校背景,上证380、中证800、创新100、半导体50、国证成长、国证算力、小盘成长、科创100、科创信息、科创国企、科创芯片,中证500、沪港通SH、融资融券,27,行业位置：半导体/集成电路设计；相关概念：MCU芯片、东数西算、人工智能、含H股、存储芯片；风格标签：基金重仓、股权转让、非周期股、高校背景；指数归属：上证380、中证800、创新100、半导体50；交易属性：中证500、沪港通SH、融资融券。
